Source	Target	Weight
22	538	1.0
7	537	1.0
44	117	1.0
43	865	1.0
26	126	1.0
13	200	1.0
50	110	1.0
5	7	1.0
40	431	1.0
120	558	1.0
64	961	1.0
87	471	1.0
117	64	1.0
116	637	1.0
126	615	1.0
160	26	1.0
110	272	1.0
130	75	1.0
124	675	1.0
92	141	1.0
141	87	1.0
138	175	1.0
62	107	1.0
107	766	1.0
75	92	1.0
145	456	1.0
156	43	1.0
111	584	1.0
58	60	1.0
113	811	1.0
150	985	1.0
137	544	1.0
79	729	1.0
93	713	1.0
60	1314	1.0
119	721	1.0
76	958	1.0
82	779	1.0
125	93	1.0
172	762	1.0
175	113	1.0
179	236	1.0
188	517	1.0
184	561	1.0
166	1418	1.0
182	629	1.0
168	5	1.0
268	325	1.0
201	527	1.0
204	706	1.0
272	478	1.0
236	138	1.0
358	654	1.0
325	777	1.0
456	1502	1.0
431	479	1.0
478	475	1.0
479	124	1.0
475	1452	1.0
471	62	1.0
538	120	1.0
701	1438	1.0
693	22	1.0
629	150	1.0
527	583	1.0
611	119	1.0
544	76	1.0
710	179	1.0
595	268	1.0
675	539	1.0
561	616	1.0
584	3547	1.0
539	125	1.0
721	763	1.0
713	1101	1.0
570	1113	1.0
558	1988	1.0
517	184	1.0
499	611	1.0
654	188	1.0
581	587	1.0
587	764	1.0
714	2294	1.0
614	513	1.0
496	145	1.0
706	793	1.0
637	639	1.0
586	695	1.0
695	201	1.0
583	802	1.0
615	651	1.0
526	116	1.0
639	945	1.0
513	1513	1.0
678	526	1.0
616	499	1.0
537	40	1.0
200	1158	1.0
729	130	1.0
766	710	1.0
770	714	1.0
762	586	1.0
764	614	1.0
779	570	1.0
777	358	1.0
763	581	1.0
793	79	1.0
811	137	1.0
812	1541	1.0
802	1105	1.0
865	160	1.0
945	595	1.0
972	812	1.0
958	58	1.0
978	168	1.0
985	933	1.0
933	2810	1.0
961	172	1.0
1018	50	1.0
1057	1195	1.0
1085	693	1.0
1113	1161	1.0
1105	678	1.0
1101	972	1.0
1158	182	1.0
1161	1057	1.0
1195	1542	1.0
1314	496	1.0
1418	13	1.0
1438	166	1.0
1452	204	1.0
1502	978	1.0
1513	770	1.0
1541	82	1.0
1542	44	1.0
1988	1018	1.0
2150	156	1.0
2294	701	1.0
2810	111	1.0
3547	2150	1.0
