Id	Label	Category
44	44	Action
145	145	Action
48	48	Action
971	971	Action
50	50	Animation
476	476	Animation
20	20	Comedy
320	320	Comedy
40	40	Animation
322	322	Animation
29	29	Animation
55	55	Comedy
4	4	Animation
99	99	Comedy
470	470	Comedy
87	87	Action
138	138	Action
67	67	Action
126	126	Comedy
133	133	Comedy
670	670	Adventure
480	480	Animation
110	110	Comedy
1743	1743	Comedy
92	92	Action
1659	1659	Action
141	141	Action
974	974	Action
175	175	Action
62	62	Action
811	811	Action
107	107	Action
88	88	Action
75	75	Action
105	105	Action
379	379	Action
140	140	Action
262	262	Action
874	874	Horror
114	114	Action
440	440	Action
156	156	Action
179	179	Action
111	111	Action
174	174	Action
1963	1963	Action
170	170	Comedy
165	165	Comedy
2199	2199	Comedy
302	302	Comedy
726	726	Horror
271	271	Comedy
1970	1970	Action
301	301	Comedy
757	757	Comedy
242	242	Action
375	375	Action
742	742	Comedy
272	272	Comedy
255	255	Comedy
288	288	Comedy
1199	1199	Comedy
824	824	Action
236	236	Action
2956	2956	Horror
244	244	Comedy
3145	3145	Action
442	442	Action
377	377	Action
456	456	Action
1268	1268	Comedy
382	382	Action
447	447	Comedy
452	452	Drama
829	829	Drama
459	459	Comedy
1200	1200	Comedy
677	677	Action
1101	1101	Action
666	666	Comedy
1088	1088	Comedy
675	675	Comedy
1035	1035	Comedy
626	626	Comedy
591	591	Action
2312	2312	Comedy
613	613	Comedy
637	637	Action
793	793	Comedy
814	814	Comedy
1655	1655	Action
373	373	Action
1034	1034	Action
921	921	Comedy
1045	1045	Comedy
1060	1060	Comedy
1070	1070	Action
371	371	Action
1535	1535	Action
157	157	Drama
1233	1233	Comedy
1194	1194	Comedy
1452	1452	Comedy
