Source	Target	Weight
31	857	1.0
22	159	1.0
27	1716	1.0
0	988	1.0
9	238	1.0
43	573	1.0
48	15	1.0
15	43	1.0
29	1054	1.0
120	607	1.0
99	31	1.0
121	1290	1.0
161	1175	1.0
80	163	1.0
159	488	1.0
110	357	1.0
163	294	1.0
169	242	1.0
276	29	1.0
245	2070	1.0
242	272	1.0
294	245	1.0
272	1105	1.0
255	483	1.0
295	1501	1.0
238	643	1.0
357	9	1.0
449	472	1.0
445	745	1.0
474	27	1.0
461	2447	1.0
488	380	1.0
472	80	1.0
483	449	1.0
607	3556	1.0
193	474	1.0
573	99	1.0
643	169	1.0
503	550	1.0
550	276	1.0
745	1215	1.0
733	0	1.0
730	445	1.0
857	3101	1.0
988	255	1.0
1034	1631	1.0
1054	1092	1.0
1105	295	1.0
1092	121	1.0
1215	48	1.0
1175	733	1.0
1288	1432	1.0
1290	161	1.0
1345	110	1.0
1432	730	1.0
1501	1034	1.0
1631	1288	1.0
1716	461	1.0
1813	503	1.0
1852	1813	1.0
2070	1345	1.0
2447	1852	1.0
3101	120	1.0
3556	22	1.0
