Source	Target	Weight
22	602	1.0
44	1289	1.0
48	2373	1.0
14	1114	1.0
2	362	1.0
23	431	1.0
40	660	1.0
157	99	1.0
99	44	1.0
121	2031	1.0
101	209	1.0
161	361	1.0
143	656	1.0
159	703	1.0
126	663	1.0
160	1150	1.0
110	632	1.0
124	1298	1.0
92	200	1.0
178	549	1.0
183	178	1.0
276	48	1.0
273	23	1.0
211	1508	1.0
204	101	1.0
279	534	1.0
264	204	1.0
209	3199	1.0
361	1457	1.0
357	352	1.0
351	143	1.0
352	485	1.0
362	589	1.0
367	1028	1.0
385	211	1.0
431	385	1.0
485	264	1.0
632	2038	1.0
547	692	1.0
703	1462	1.0
589	1568	1.0
585	1054	1.0
692	367	1.0
534	157	1.0
660	986	1.0
663	161	1.0
656	110	1.0
613	911	1.0
602	550	1.0
659	2	1.0
550	183	1.0
200	585	1.0
549	126	1.0
911	159	1.0
986	566	1.0
1028	124	1.0
1054	2799	1.0
1114	279	1.0
1150	273	1.0
1289	40	1.0
1298	92	1.0
1397	547	1.0
757	613	1.0
1462	1801	1.0
1457	351	1.0
1348	357	1.0
1508	2127	1.0
1568	2089	1.0
1841	659	1.0
758	22	1.0
2038	1841	1.0
2031	2054	1.0
2054	1348	1.0
2089	1397	1.0
2127	757	1.0
2373	160	1.0
2799	14	1.0
1801	121	1.0
3199	758	1.0
