Source	Target	Weight
22	94	1.0
3	391	1.0
47	15	1.0
7	2066	1.0
0	2998	1.0
44	100	1.0
41	410	1.0
48	170	1.0
39	1363	1.0
26	990	1.0
15	629	1.0
23	120	1.0
40	121	1.0
120	1934	1.0
64	374	1.0
100	380	1.0
121	48	1.0
87	124	1.0
81	483	1.0
117	337	1.0
94	1603	1.0
154	1299	1.0
131	196	1.0
80	1028	1.0
67	648	1.0
116	1629	1.0
57	67	1.0
56	751	1.0
160	197	1.0
72	39	1.0
124	190	1.0
92	281	1.0
141	835	1.0
146	107	1.0
136	1643	1.0
62	682	1.0
107	156	1.0
75	0	1.0
105	407	1.0
140	295	1.0
114	958	1.0
156	768	1.0
88	456	1.0
111	375	1.0
58	435	1.0
118	1539	1.0
65	89	1.0
89	118	1.0
150	713	1.0
137	2204	1.0
79	2651	1.0
129	373	1.0
60	471	1.0
86	446	1.0
119	65	1.0
153	2257	1.0
76	378	1.0
82	2079	1.0
125	1101	1.0
189	81	1.0
164	1031	1.0
178	79	1.0
181	116	1.0
186	1402	1.0
180	1089	1.0
172	288	1.0
179	431	1.0
190	40	1.0
162	1810	1.0
170	160	1.0
163	1084	1.0
273	692	1.0
243	1158	1.0
221	783	1.0
248	154	1.0
316	330	1.0
272	904	1.0
280	590	1.0
288	141	1.0
281	836	1.0
295	749	1.0
279	865	1.0
236	62	1.0
238	105	1.0
369	413	1.0
344	140	1.0
330	478	1.0
354	468	1.0
356	238	1.0
337	965	1.0
334	912	1.0
347	1387	1.0
432	163	1.0
375	1070	1.0
442	87	1.0
440	997	1.0
379	411	1.0
456	1314	1.0
382	2895	1.0
410	172	1.0
384	72	1.0
391	164	1.0
453	354	1.0
408	47	1.0
407	1495	1.0
385	189	1.0
431	136	1.0
411	766	1.0
446	3166	1.0
435	1821	1.0
404	978	1.0
413	1136	1.0
380	651	1.0
476	607	1.0
372	146	1.0
468	3	1.0
478	440	1.0
483	432	1.0
471	1086	1.0
607	23	1.0
702	453	1.0
193	194	1.0
677	1030	1.0
197	7	1.0
648	22	1.0
629	272	1.0
508	76	1.0
527	57	1.0
590	1146	1.0
710	1140	1.0
692	248	1.0
675	181	1.0
682	179	1.0
713	404	1.0
637	702	1.0
651	193	1.0
602	80	1.0
639	1488	1.0
200	273	1.0
749	1071	1.0
731	200	1.0
751	972	1.0
733	731	1.0
728	1697	1.0
768	987	1.0
766	236	1.0
378	114	1.0
771	1184	1.0
798	830	1.0
808	1618	1.0
811	137	1.0
836	377	1.0
373	805	1.0
816	508	1.0
791	111	1.0
805	816	1.0
835	677	1.0
824	1502	1.0
830	808	1.0
374	1411	1.0
866	356	1.0
904	988	1.0
865	639	1.0
912	347	1.0
198	733	1.0
988	602	1.0
194	442	1.0
192	1336	1.0
945	384	1.0
971	1621	1.0
972	968	1.0
958	791	1.0
978	1735	1.0
965	75	1.0
987	60	1.0
968	1220	1.0
196	221	1.0
997	945	1.0
1031	782	1.0
1030	131	1.0
993	198	1.0
1028	26	1.0
1022	1501	1.0
990	162	1.0
1084	64	1.0
377	379	1.0
1070	88	1.0
1077	2223	1.0
1034	971	1.0
1086	710	1.0
1072	1631	1.0
1089	1622	1.0
1071	372	1.0
1106	369	1.0
1136	279	1.0
1101	86	1.0
1140	153	1.0
1158	280	1.0
1146	316	1.0
783	243	1.0
1145	675	1.0
1160	1647	1.0
1166	2161	1.0
1215	1034	1.0
1184	125	1.0
1204	1768	1.0
1181	1748	1.0
1220	1145	1.0
1195	2205	1.0
1299	1838	1.0
1314	1649	1.0
1336	92	1.0
1411	408	1.0
1363	637	1.0
1402	192	1.0
1387	186	1.0
1498	866	1.0
1502	1215	1.0
1477	2416	1.0
1495	150	1.0
1501	1106	1.0
1488	344	1.0
1539	382	1.0
1547	1790	1.0
782	1498	1.0
1643	129	1.0
1622	334	1.0
1629	178	1.0
1631	1477	1.0
1649	824	1.0
1642	82	1.0
1621	811	1.0
1618	1547	1.0
1647	3416	1.0
1768	180	1.0
1748	1077	1.0
1735	1166	1.0
1697	1181	1.0
1790	1761	1.0
1769	1597	1.0
1761	1769	1.0
1821	527	1.0
1838	385	1.0
1810	41	1.0
1934	44	1.0
1973	3002	1.0
1972	56	1.0
2066	993	1.0
2080	1973	1.0
2079	2464	1.0
2161	1160	1.0
2205	1642	1.0
2223	2080	1.0
2204	119	1.0
2257	58	1.0
2464	1072	1.0
2323	476	1.0
2651	1204	1.0
2416	798	1.0
1597	1022	1.0
2895	771	1.0
2998	2323	1.0
3002	1972	1.0
3166	1195	1.0
3416	728	1.0
