Source	Target	Weight
22	461	1.0
27	961	1.0
24	156	1.0
44	535	1.0
48	651	1.0
13	40	1.0
50	15	1.0
15	13	1.0
20	322	1.0
5	415	1.0
10	365	1.0
40	99	1.0
4	288	1.0
120	87	1.0
64	648	1.0
123	803	1.0
99	255	1.0
87	193	1.0
117	120	1.0
154	1199	1.0
85	204	1.0
126	488	1.0
160	666	1.0
130	1049	1.0
72	1117	1.0
124	48	1.0
138	942	1.0
62	378	1.0
107	346	1.0
75	114	1.0
140	58	1.0
145	690	1.0
114	62	1.0
156	433	1.0
58	175	1.0
65	1539	1.0
150	811	1.0
112	426	1.0
68	530	1.0
129	1601	1.0
60	587	1.0
86	1510	1.0
153	150	1.0
82	596	1.0
125	2074	1.0
189	547	1.0
164	1368	1.0
172	977	1.0
175	766	1.0
188	586	1.0
184	576	1.0
177	1187	1.0
191	1568	1.0
302	1073	1.0
243	946	1.0
285	739	1.0
322	470	1.0
204	1829	1.0
272	768	1.0
255	22	1.0
288	243	1.0
314	366	1.0
229	1508	1.0
236	332	1.0
332	10	1.0
365	1211	1.0
366	613	1.0
325	314	1.0
364	443	1.0
326	336	1.0
352	1150	1.0
367	1648	1.0
346	650	1.0
370	123	1.0
340	814	1.0
336	1194	1.0
440	1536	1.0
379	145	1.0
443	1513	1.0
415	126	1.0
384	706	1.0
418	800	1.0
433	614	1.0
426	1205	1.0
397	1164	1.0
461	20	1.0
488	27	1.0
478	5	1.0
470	582	1.0
688	821	1.0
193	124	1.0
648	172	1.0
547	4	1.0
508	1179	1.0
666	765	1.0
527	561	1.0
611	184	1.0
668	164	1.0
544	1649	1.0
650	816	1.0
582	189	1.0
516	3553	1.0
674	302	1.0
675	1089	1.0
492	795	1.0
561	1377	1.0
623	1158	1.0
545	675	1.0
507	668	1.0
719	1979	1.0
654	611	1.0
580	112	1.0
626	779	1.0
709	897	1.0
587	781	1.0
690	188	1.0
714	125	1.0
530	177	1.0
614	626	1.0
706	1088	1.0
613	160	1.0
566	1268	1.0
586	140	1.0
651	194	1.0
576	82	1.0
678	527	1.0
596	719	1.0
535	478	1.0
200	440	1.0
728	367	1.0
739	1498	1.0
768	623	1.0
766	153	1.0
378	107	1.0
781	1086	1.0
765	229	1.0
779	1562	1.0
814	545	1.0
800	1202	1.0
803	1564	1.0
799	1563	1.0
811	958	1.0
816	379	1.0
821	728	1.0
795	943	1.0
806	1768	1.0
802	678	1.0
897	370	1.0
942	1185	1.0
194	64	1.0
958	544	1.0
965	117	1.0
977	200	1.0
961	566	1.0
946	272	1.0
943	846	1.0
846	1045	1.0
1086	68	1.0
1065	1995	1.0
1049	688	1.0
1073	1418	1.0
1089	1210	1.0
1045	507	1.0
1088	191	1.0
1117	130	1.0
1158	154	1.0
1150	1385	1.0
1164	806	1.0
1211	129	1.0
1205	418	1.0
1229	1191	1.0
1233	384	1.0
1194	138	1.0
1187	714	1.0
1236	1229	1.0
1179	709	1.0
1199	72	1.0
1185	24	1.0
1191	965	1.0
1272	2221	1.0
1202	86	1.0
1268	325	1.0
1210	1650	1.0
1385	326	1.0
1368	285	1.0
1377	2135	1.0
1418	2758	1.0
1417	236	1.0
1498	674	1.0
1508	1233	1.0
1510	799	1.0
1513	580	1.0
1539	44	1.0
1538	516	1.0
1536	75	1.0
1568	352	1.0
1563	1236	1.0
1562	364	1.0
1564	1861	1.0
1648	492	1.0
1649	60	1.0
1650	508	1.0
1768	1538	1.0
1829	2794	1.0
1861	2366	1.0
1942	2006	1.0
1995	2789	1.0
2006	802	1.0
1979	50	1.0
2072	397	1.0
2074	1942	1.0
2135	2176	1.0
2176	654	1.0
2221	2072	1.0
2366	1065	1.0
2758	340	1.0
2789	1272	1.0
2794	1417	1.0
1601	1157	1.0
3553	85	1.0
