Id	Label	Category
22	22	Comedy
476	476	Animation
7	7	Comedy
2805	2805	Horror
44	44	Action
157	157	Drama
48	48	Action
4	4	Animation
20	20	Comedy
301	301	Comedy
5	5	Action
104	104	Drama
23	23	Drama
40	40	Animation
126	126	Comedy
29	29	Animation
87	87	Action
154	154	Comedy
64	64	Action
117	117	Action
197	197	Action
99	99	Comedy
459	459	Comedy
121	121	Drama
1847	1847	Drama
1317	1317	Drama
524	524	Horror
204	204	Comedy
122	122	Comedy
445	445	Drama
110	110	Comedy
156	156	Action
60	60	Action
170	170	Comedy
165	165	Comedy
288	288	Comedy
450	450	Comedy
266	266	Documentary
305	305	Comedy
250	250	Drama
444	444	Comedy
410	410	Drama
255	255	Comedy
236	236	Action
254	254	Sci-Fi
483	483	Drama
284	284	Animation
2169	2169	Horror
1260	1260	Comedy
757	757	Comedy
2059	2059	Horror
632	632	Comedy
2382	2382	Documentary
602	602	Drama
1299	1299	Drama
1636	1636	Comedy
