Source	Target	Weight
3	1597	1.0
47	380	1.0
7	1369	1.0
21	2583	1.0
9	2318	1.0
41	189	1.0
14	1462	1.0
26	963	1.0
5	1142	1.0
23	323	1.0
157	1138	1.0
99	23	1.0
109	2533	1.0
161	2402	1.0
135	730	1.0
80	1566	1.0
67	1109	1.0
78	57	1.0
159	703	1.0
57	2522	1.0
142	968	1.0
126	557	1.0
110	513	1.0
130	453	1.0
72	468	1.0
156	163	1.0
189	1155	1.0
175	1404	1.0
190	540	1.0
170	271	1.0
163	2217	1.0
276	525	1.0
321	401	1.0
271	72	1.0
301	272	1.0
237	2180	1.0
322	660	1.0
311	986	1.0
323	21	1.0
249	1839	1.0
272	444	1.0
280	306	1.0
306	1320	1.0
351	1810	1.0
369	1175	1.0
345	321	1.0
327	1288	1.0
444	688	1.0
449	301	1.0
391	1701	1.0
453	2576	1.0
401	1450	1.0
474	1507	1.0
380	5	1.0
372	1852	1.0
460	740	1.0
468	280	1.0
548	1128	1.0
688	1498	1.0
557	237	1.0
693	190	1.0
540	1345	1.0
604	1840	1.0
525	249	1.0
703	1441	1.0
506	47	1.0
623	345	1.0
644	1938	1.0
660	1934	1.0
513	693	1.0
601	1097	1.0
745	460	1.0
733	1409	1.0
740	911	1.0
730	961	1.0
911	276	1.0
909	604	1.0
961	26	1.0
963	1152	1.0
976	135	1.0
968	369	1.0
986	449	1.0
984	1455	1.0
1030	984	1.0
1000	506	1.0
1084	976	1.0
1128	372	1.0
1109	3273	1.0
1097	2321	1.0
1138	2795	1.0
1142	3	1.0
1155	1947	1.0
786	2739	1.0
1152	1324	1.0
1197	7	1.0
1175	1084	1.0
1235	1583	1.0
1288	548	1.0
1289	322	1.0
1299	1235	1.0
1300	1434	1.0
1345	159	1.0
1333	1000	1.0
1324	1481	1.0
1369	1411	1.0
1411	2508	1.0
1404	130	1.0
1390	623	1.0
1409	1030	1.0
1462	175	1.0
1441	644	1.0
1434	1197	1.0
1450	474	1.0
1464	755	1.0
1449	745	1.0
1469	1856	1.0
1455	351	1.0
1498	2870	1.0
1475	2048	1.0
1481	41	1.0
1507	1475	1.0
1566	14	1.0
1583	2038	1.0
755	1886	1.0
1731	2070	1.0
1756	99	1.0
1320	311	1.0
1701	1449	1.0
1813	1469	1.0
1839	80	1.0
1852	1464	1.0
1840	1333	1.0
1886	2601	1.0
1810	786	1.0
1934	1731	1.0
1947	78	1.0
2038	601	1.0
1938	1300	1.0
2070	126	1.0
2180	1390	1.0
2217	9	1.0
2243	909	1.0
2048	67	1.0
2321	109	1.0
2318	391	1.0
2356	134	1.0
1856	2243	1.0
2402	2356	1.0
2045	1299	1.0
2533	2839	1.0
2508	733	1.0
2522	1756	1.0
2576	1289	1.0
2583	170	1.0
2601	1813	1.0
1597	157	1.0
2739	142	1.0
2795	161	1.0
2839	156	1.0
2870	2045	1.0
3172	327	1.0
3273	3172	1.0
