Source	Target	Weight
22	110	1.0
37	330	1.0
21	39	1.0
44	117	1.0
9	880	1.0
43	763	1.0
18	21	1.0
39	384	1.0
17	474	1.0
45	1253	1.0
26	691	1.0
19	160	1.0
1	328	1.0
13	540	1.0
50	2317	1.0
15	1638	1.0
46	201	1.0
20	553	1.0
5	476	1.0
8	17	1.0
10	1347	1.0
40	10	1.0
33	45	1.0
29	480	1.0
35	1	1.0
4	551	1.0
30	2004	1.0
34	37	1.0
32	951	1.0
25	841	1.0
120	200	1.0
64	107	1.0
123	1859	1.0
157	29	1.0
99	5	1.0
121	64	1.0
139	479	1.0
87	651	1.0
81	139	1.0
161	248	1.0
117	92	1.0
128	284	1.0
154	288	1.0
131	326	1.0
116	670	1.0
78	1854	1.0
57	692	1.0
85	332	1.0
133	1158	1.0
126	190	1.0
160	1636	1.0
110	189	1.0
130	674	1.0
124	943	1.0
92	980	1.0
141	458	1.0
107	2717	1.0
75	131	1.0
145	824	1.0
156	617	1.0
58	173	1.0
150	79	1.0
137	972	1.0
79	884	1.0
60	676	1.0
82	1307	1.0
189	1143	1.0
172	87	1.0
175	542	1.0
179	150	1.0
173	513	1.0
188	616	1.0
184	1187	1.0
177	2103	1.0
190	22	1.0
162	1287	1.0
163	243	1.0
168	2186	1.0
165	1233	1.0
191	619	1.0
302	675	1.0
273	43	1.0
243	547	1.0
253	184	1.0
221	536	1.0
201	528	1.0
248	663	1.0
225	622	1.0
250	685	1.0
204	255	1.0
255	1452	1.0
288	20	1.0
314	724	1.0
284	761	1.0
332	539	1.0
365	719	1.0
326	196	1.0
341	640	1.0
330	46	1.0
328	1981	1.0
432	194	1.0
444	273	1.0
416	444	1.0
384	81	1.0
450	904	1.0
385	225	1.0
387	559	1.0
413	128	1.0
474	4	1.0
476	162	1.0
372	432	1.0
480	609	1.0
468	18	1.0
459	1518	1.0
479	385	1.0
466	1647	1.0
475	1705	1.0
469	812	1.0
491	1199	1.0
458	26	1.0
548	950	1.0
518	2022	1.0
542	747	1.0
707	13	1.0
193	120	1.0
540	1331	1.0
195	882	1.0
501	161	1.0
628	475	1.0
685	762	1.0
547	1192	1.0
622	491	1.0
665	526	1.0
527	188	1.0
504	742	1.0
611	654	1.0
544	587	1.0
536	163	1.0
582	1886	1.0
710	544	1.0
520	387	1.0
692	75	1.0
609	40	1.0
674	955	1.0
675	850	1.0
528	548	1.0
561	721	1.0
575	168	1.0
539	728	1.0
619	572	1.0
617	253	1.0
676	704	1.0
553	628	1.0
545	596	1.0
605	1420	1.0
684	1164	1.0
578	468	1.0
721	611	1.0
719	116	1.0
713	58	1.0
570	2664	1.0
640	605	1.0
517	926	1.0
497	165	1.0
499	82	1.0
654	710	1.0
587	713	1.0
714	1418	1.0
591	1314	1.0
663	469	1.0
586	575	1.0
670	1377	1.0
651	57	1.0
526	1130	1.0
513	177	1.0
678	1341	1.0
616	1070	1.0
691	60	1.0
596	509	1.0
704	545	1.0
509	684	1.0
572	32	1.0
200	172	1.0
608	30	1.0
551	34	1.0
505	974	1.0
559	35	1.0
742	124	1.0
752	714	1.0
747	1334	1.0
728	19	1.0
724	582	1.0
729	892	1.0
739	416	1.0
761	3224	1.0
766	156	1.0
378	145	1.0
762	1345	1.0
763	518	1.0
793	755	1.0
841	3067	1.0
821	729	1.0
824	591	1.0
812	365	1.0
892	1908	1.0
903	378	1.0
880	561	1.0
904	9	1.0
882	1051	1.0
865	977	1.0
884	450	1.0
926	1852	1.0
785	466	1.0
980	193	1.0
194	413	1.0
972	570	1.0
974	1631	1.0
985	1184	1.0
977	527	1.0
950	191	1.0
951	520	1.0
930	44	1.0
953	85	1.0
954	15	1.0
955	1088	1.0
931	341	1.0
961	504	1.0
943	1146	1.0
196	865	1.0
1027	578	1.0
1070	179	1.0
1067	665	1.0
1089	121	1.0
1060	1477	1.0
1051	985	1.0
1088	821	1.0
1129	195	1.0
1130	903	1.0
1158	849	1.0
1146	1688	1.0
1143	221	1.0
1164	1964	1.0
1165	707	1.0
1162	1517	1.0
1253	133	1.0
1233	130	1.0
1187	1067	1.0
1184	752	1.0
850	931	1.0
1192	1756	1.0
1189	302	1.0
1228	2012	1.0
1199	793	1.0
1287	126	1.0
1307	141	1.0
1314	137	1.0
1341	2782	1.0
1345	501	1.0
1331	154	1.0
1334	678	1.0
1377	766	1.0
1420	123	1.0
1418	739	1.0
849	175	1.0
1452	953	1.0
1477	1129	1.0
1517	608	1.0
1518	1060	1.0
755	459	1.0
1638	50	1.0
1636	33	1.0
1631	1703	1.0
1647	1189	1.0
1705	497	1.0
1756	314	1.0
1688	99	1.0
1703	1228	1.0
1852	372	1.0
1854	250	1.0
1886	204	1.0
1908	785	1.0
1964	78	1.0
2012	2114	1.0
2022	1162	1.0
1981	2016	1.0
2004	2034	1.0
2016	930	1.0
2017	961	1.0
2034	517	1.0
2103	499	1.0
2114	1165	1.0
1859	1027	1.0
1347	8	1.0
2317	25	1.0
2664	505	1.0
2717	2017	1.0
2782	157	1.0
3067	586	1.0
3224	954	1.0
