Id	Label	Category
22	22	Comedy
376	376	Action
47	47	Drama
712	712	Comedy
0	0	Drama
338	338	Comedy
44	44	Action
581	581	Action
9	9	Adventure
1151	1151	Comedy
41	41	Drama
1838	1838	Drama
48	48	Action
429	429	Drama
18	18	Drama
42	42	Drama
503	503	Comedy
14	14	Musical
661	661	Sci-Fi
17	17	Animation
1942	1942	Action
45	45	Animation
156	156	Action
26	26	Animation
185	185	Adventure
2	2	Musical
1700	1700	Drama
19	19	Comedy
790	790	Comedy
52	52	Drama
323	323	Drama
49	49	Animation
936	936	Animation
46	46	Animation
23	23	Drama
10	10	Animation
1528	1528	Adventure
40	40	Animation
1865	1865	Drama
35	35	Animation
2074	2074	Action
120	120	Action
64	64	Action
109	109	Drama
123	123	Comedy
243	243	Comedy
83	83	Drama
446	446	Drama
100	100	Drama
506	506	Comedy
157	157	Drama
520	520	Animation
149	149	Drama
2175	2175	Horror
121	121	Drama
668	668	Comedy
98	98	Drama
58	58	Action
2466	2466	Comedy
87	87	Action
566	566	Drama
161	161	Drama
53	53	Drama
993	993	Horror
117	117	Action
639	639	Action
143	143	Drama
90	90	Drama
365	365	Comedy
91	91	Drama
904	904	Sci-Fi
154	154	Comedy
1053	1053	Comedy
131	131	Action
542	542	Comedy
148	148	Comedy
428	428	Drama
104	104	Drama
330	330	Animation
116	116	Adventure
984	984	Drama
74	74	Drama
132	132	Drama
547	547	Animation
97	97	Drama
528	528	Animation
85	85	Comedy
530	530	Action
133	133	Comedy
171	171	Adventure
142	142	Drama
2135	2135	Adventure
134	134	Drama
84	84	Comedy
806	806	Comedy
55	55	Comedy
160	160	Comedy
613	613	Comedy
110	110	Comedy
2101	2101	Adventure
72	72	Comedy
169	169	Comedy
124	124	Action
79	79	Action
146	146	Action
255	255	Comedy
107	107	Action
1234	1234	Drama
75	75	Action
145	145	Action
2399	2399	Comedy
1728	1728	Drama
175	175	Action
93	93	Action
2038	2038	Musical
60	60	Action
86	86	Action
453	453	Drama
76	76	Action
2426	2426	Comedy
82	82	Action
573	573	Comedy
125	125	Action
189	189	Comedy
426	426	Drama
186	186	Comedy
