Id	Label	Category
22	22	Comedy
3552	3552	Horror
0	0	Drama
160	160	Comedy
20	20	Comedy
204	204	Comedy
40	40	Animation
154	154	Comedy
4	4	Animation
470	470	Comedy
99	99	Comedy
271	271	Comedy
757	757	Comedy
126	126	Comedy
229	229	Comedy
122	122	Comedy
302	302	Comedy
110	110	Comedy
272	272	Comedy
130	130	Comedy
295	295	Comedy
72	72	Comedy
170	170	Comedy
1156	1156	Comedy
1269	1269	Comedy
1050	1050	Comedy
203	203	Comedy
913	913	Horror
737	737	Comedy
288	288	Comedy
1214	1214	Comedy
308	308	Comedy
1473	1473	Comedy
244	244	Comedy
1023	1023	Comedy
366	366	Drama
2312	2312	Comedy
340	340	Comedy
1682	1682	Comedy
450	450	Comedy
412	412	Comedy
623	623	Comedy
459	459	Comedy
2082	2082	Horror
458	458	Comedy
1196	1196	Comedy
729	729	Comedy
613	613	Comedy
752	752	Comedy
750	750	Comedy
803	803	Comedy
1022	1022	Horror
1127	1127	Comedy
1260	1260	Comedy
1870	1870	Comedy
1233	1233	Comedy
1953	1953	Comedy
2780	2780	Comedy
