Id	Label	Category
0	0	Drama
518	518	Adventure
44	44	Action
3547	3547	Horror
43	43	Action
1974	1974	Action
23	23	Drama
99	99	Comedy
591	591	Action
121	121	Drama
87	87	Action
380	380	Action
124	124	Action
92	92	Action
141	141	Action
373	373	Action
138	138	Action
375	375	Action
136	136	Action
175	175	Action
62	62	Action
145	145	Action
75	75	Action
88	88	Action
236	236	Action
1621	1621	Action
111	111	Action
89	89	Action
58	58	Action
482	482	Action
118	118	Action
147	147	Action
153	153	Action
2692	2692	Horror
137	137	Action
107	107	Action
129	129	Action
66	66	Action
76	76	Action
1048	1048	Action
1968	1968	Action
174	174	Action
1962	1962	Action
2450	2450	Action
188	188	Action
637	637	Action
242	242	Action
299	299	Action
1506	1506	Action
262	262	Action
1488	1488	Action
791	791	Action
442	442	Action
382	382	Action
1940	1940	Action
194	194	Action
607	607	Action
648	648	Action
650	650	Action
530	530	Action
2066	2066	Action
793	793	Comedy
865	865	Action
1970	1970	Action
902	902	Action
1655	1655	Action
928	928	Action
1130	1130	Action
971	971	Action
2061	2061	Action
974	974	Action
1104	1104	Action
2416	2416	Action
1118	1118	Action
1966	1966	Action
1125	1125	Action
1703	1703	Action
1736	1736	Action
2890	2890	Action
1825	1825	Horror
1593	1593	Horror
1959	1959	Action
1971	1971	Action
1963	1963	Action
2481	2481	Action
2133	2133	Action
3196	3196	Action
2345	2345	Action
3113	3113	Action
