Source	Target	Weight
22	707	1.0
7	272	1.0
45	953	1.0
19	1142	1.0
13	45	1.0
50	5	1.0
15	508	1.0
20	15	1.0
5	22	1.0
40	162	1.0
64	1305	1.0
123	1596	1.0
99	257	1.0
87	1970	1.0
154	19	1.0
80	20	1.0
160	564	1.0
110	183	1.0
72	367	1.0
92	1908	1.0
79	545	1.0
93	2186	1.0
153	1269	1.0
174	1007	1.0
175	650	1.0
184	724	1.0
166	1498	1.0
190	40	1.0
162	537	1.0
163	110	1.0
183	204	1.0
182	504	1.0
165	1013	1.0
302	978	1.0
247	1076	1.0
243	193	1.0
257	44	1.0
235	1106	1.0
301	2285	1.0
204	1154	1.0
316	540	1.0
272	160	1.0
288	578	1.0
295	597	1.0
279	1005	1.0
244	79	1.0
358	993	1.0
325	1158	1.0
339	466	1.0
367	244	1.0
353	1648	1.0
340	1146	1.0
336	288	1.0
456	667	1.0
427	1029	1.0
473	536	1.0
478	582	1.0
466	1330	1.0
475	175	1.0
707	190	1.0
193	374	1.0
677	1607	1.0
540	999	1.0
197	196	1.0
195	1027	1.0
648	13	1.0
508	154	1.0
504	1260	1.0
667	1200	1.0
536	674	1.0
650	184	1.0
582	325	1.0
710	2296	1.0
652	235	1.0
564	625	1.0
674	1192	1.0
675	153	1.0
575	1425	1.0
631	336	1.0
545	790	1.0
715	750	1.0
578	2017	1.0
625	2111	1.0
708	664	1.0
517	708	1.0
497	1069	1.0
534	1679	1.0
597	715	1.0
664	1418	1.0
709	2065	1.0
587	302	1.0
679	1791	1.0
672	497	1.0
591	913	1.0
697	2925	1.0
606	709	1.0
613	301	1.0
524	1774	1.0
678	473	1.0
537	163	1.0
726	2059	1.0
724	631	1.0
750	1073	1.0
790	339	1.0
812	587	1.0
820	648	1.0
830	2163	1.0
374	197	1.0
882	195	1.0
874	899	1.0
856	591	1.0
899	990	1.0
857	1713	1.0
913	1595	1.0
920	1781	1.0
884	882	1.0
785	2422	1.0
978	166	1.0
985	1502	1.0
953	80	1.0
943	72	1.0
196	1004	1.0
999	1140	1.0
1013	340	1.0
997	677	1.0
1031	92	1.0
1007	856	1.0
1017	2140	1.0
1020	2634	1.0
993	1022	1.0
1004	316	1.0
1022	243	1.0
990	997	1.0
1016	2808	1.0
1005	174	1.0
998	2625	1.0
1029	1594	1.0
1009	672	1.0
1027	985	1.0
1015	697	1.0
1034	998	1.0
1041	1704	1.0
1067	613	1.0
1069	1176	1.0
1073	812	1.0
1051	1650	1.0
1076	2789	1.0
1043	726	1.0
1085	1423	1.0
1113	2103	1.0
1106	2677	1.0
1140	874	1.0
1130	2187	1.0
1099	2185	1.0
1122	64	1.0
1141	2143	1.0
1142	7	1.0
1158	1067	1.0
1146	2198	1.0
1154	820	1.0
1269	1009	1.0
1260	678	1.0
1262	606	1.0
1192	1638	1.0
1200	517	1.0
1238	353	1.0
1176	1238	1.0
1305	2554	1.0
1330	165	1.0
1398	1665	1.0
1400	920	1.0
1418	675	1.0
1423	2009	1.0
1425	1031	1.0
1438	2662	1.0
1498	1262	1.0
1502	2767	1.0
1501	1558	1.0
1546	2142	1.0
1559	456	1.0
1558	2912	1.0
1551	652	1.0
1638	475	1.0
1648	785	1.0
1650	295	1.0
1704	3100	1.0
1790	1501	1.0
1665	1551	1.0
1679	1398	1.0
1791	3439	1.0
1595	427	1.0
1781	710	1.0
1774	857	1.0
1713	1400	1.0
1675	830	1.0
1779	2609	1.0
1806	943	1.0
1826	93	1.0
1822	1034	1.0
1908	1015	1.0
1970	1600	1.0
2009	1981	1.0
1981	1438	1.0
2017	1806	1.0
2059	2160	1.0
2062	50	1.0
2065	1085	1.0
2103	1599	1.0
2111	478	1.0
2140	1546	1.0
2169	2770	1.0
1594	534	1.0
2160	2144	1.0
2163	1779	1.0
2144	247	1.0
1596	1826	1.0
2142	2904	1.0
2173	2622	1.0
2143	2062	1.0
2185	1113	1.0
2186	2467	1.0
1610	1017	1.0
1615	1610	1.0
1602	2169	1.0
2187	1790	1.0
2198	1559	1.0
2257	2360	1.0
2285	182	1.0
2296	2257	1.0
2360	1675	1.0
2356	1601	1.0
2422	1051	1.0
2467	1615	1.0
2554	1130	1.0
1614	2173	1.0
2609	2692	1.0
2634	2812	1.0
2625	2356	1.0
2622	1141	1.0
2662	3286	1.0
2677	524	1.0
1607	1016	1.0
2692	1043	1.0
2767	358	1.0
2770	123	1.0
2808	279	1.0
2789	1598	1.0
2812	1041	1.0
1598	1822	1.0
1599	1602	1.0
1600	1122	1.0
2904	1020	1.0
2912	884	1.0
2925	99	1.0
1601	1099	1.0
3100	1614	1.0
3286	679	1.0
3439	575	1.0
