Id	Label	Category
31	31	Drama
1251	1251	Drama
22	22	Comedy
913	913	Horror
27	27	Drama
72	72	Comedy
3	3	Drama
463	463	Drama
7	7	Comedy
571	571	Comedy
44	44	Action
904	904	Sci-Fi
48	48	Action
75	75	Action
18	18	Drama
39	39	Drama
453	453	Drama
26	26	Animation
200	200	Action
19	19	Comedy
733	733	Comedy
13	13	Comedy
961	961	Comedy
15	15	Comedy
20	20	Comedy
1404	1404	Comedy
5	5	Action
23	23	Drama
988	988	Action
40	40	Animation
322	322	Animation
29	29	Animation
474	474	Animation
4	4	Animation
186	186	Comedy
64	64	Action
651	651	Action
123	123	Comedy
1761	1761	Comedy
157	157	Drama
121	121	Drama
99	99	Comedy
318	318	Comedy
69	69	Comedy
248	248	Drama
139	139	Drama
87	87	Action
793	793	Comedy
81	81	Drama
194	194	Action
117	117	Action
541	541	War
91	91	Drama
1010	1010	Action
131	131	Action
279	279	Horror
80	80	Adventure
648	648	Action
67	67	Action
231	231	Drama
77	77	Drama
391	391	Drama
85	85	Comedy
1331	1331	Comedy
126	126	Comedy
160	160	Comedy
508	508	Comedy
110	110	Comedy
1142	1142	Comedy
130	130	Comedy
790	790	Comedy
124	124	Action
92	92	Action
816	816	Action
141	141	Action
1307	1307	Action
138	138	Action
493	493	Comedy
146	146	Action
62	62	Action
140	140	Action
107	107	Action
791	791	Action
377	377	Action
175	175	Action
114	114	Action
111	111	Action
179	179	Action
58	58	Action
714	714	Action
118	118	Action
86	86	Action
113	113	Action
699	699	Action
150	150	Action
82	82	Action
112	112	Action
1422	1422	Action
137	137	Action
79	79	Action
465	465	Drama
125	125	Action
153	153	Action
605	605	Comedy
76	76	Action
482	482	Action
505	505	Action
2113	2113	Action
189	189	Comedy
692	692	Action
162	162	Comedy
180	180	Action
1080	1080	Comedy
187	187	Adventure
236	236	Action
1386	1386	Action
184	184	Adventure
1105	1105	Action
166	166	Action
1640	1640	Comedy
190	190	Comedy
170	170	Comedy
1154	1154	Comedy
607	607	Action
163	163	Comedy
1097	1097	Sci-Fi
169	169	Comedy
728	728	Comedy
182	182	Comedy
650	650	Action
216	216	Drama
302	302	Comedy
2354	2354	Comedy
212	212	Comedy
2646	2646	Comedy
271	271	Comedy
2070	2070	Comedy
273	273	Drama
1776	1776	Drama
243	243	Comedy
1143	1143	Comedy
253	253	Action
1055	1055	Comedy
301	301	Comedy
339	339	Comedy
201	201	Adventure
1675	1675	Drama
245	245	Comedy
480	480	Animation
953	953	Animation
250	250	Drama
320	320	Comedy
809	809	Comedy
204	204	Comedy
272	272	Comedy
283	283	Drama
255	255	Comedy
1829	1829	Horror
1490	1490	Comedy
288	288	Comedy
1421	1421	Comedy
281	281	Drama
865	865	Action
295	295	Comedy
1536	1536	Action
217	217	Drama
675	675	Comedy
1018	1018	Action
444	444	Comedy
238	238	Action
693	693	Comedy
244	244	Comedy
365	365	Comedy
341	341	Animation
2207	2207	Comedy
346	346	Action
407	407	Drama
336	336	Comedy
1233	1233	Comedy
432	432	Drama
1028	1028	Horror
376	376	Action
462	462	Drama
379	379	Action
411	411	Drama
410	410	Drama
1861	1861	Comedy
384	384	Drama
385	385	Drama
469	469	Drama
422	422	Drama
409	409	Drama
406	406	Drama
386	386	Drama
503	503	Comedy
1678	1678	Drama
446	446	Drama
412	412	Comedy
390	390	Comedy
666	666	Comedy
1000	1000	Comedy
486	486	Drama
476	476	Animation
488	488	Comedy
1790	1790	Action
478	478	Comedy
459	459	Comedy
2399	2399	Comedy
472	472	Drama
470	470	Comedy
52	52	Drama
1089	1089	Comedy
466	466	Comedy
1211	1211	Comedy
475	475	Comedy
458	458	Comedy
533	533	Drama
768	768	Action
471	471	Action
2746	2746	Comedy
1262	1262	Comedy
573	573	Comedy
783	783	Drama
195	195	Action
706	706	Comedy
628	628	Comedy
750	750	Comedy
729	729	Comedy
668	668	Comedy
544	544	Action
1550	1550	Action
667	667	Comedy
564	564	Comedy
582	582	Comedy
1049	1049	Comedy
558	558	Action
584	584	Action
1163	1163	Action
575	575	Comedy
1130	1130	Action
631	631	Comedy
553	553	Comedy
1158	1158	Comedy
1073	1073	Comedy
715	715	Comedy
682	682	Comedy
578	578	Comedy
1981	1981	Adventure
625	625	Comedy
708	708	Comedy
1127	1127	Comedy
570	570	Action
640	640	Comedy
1164	1164	Action
597	597	Comedy
499	499	Adventure
664	664	Comedy
670	670	Adventure
709	709	Comedy
587	587	Action
519	519	Comedy
671	671	Comedy
1069	1069	Comedy
672	672	Comedy
530	530	Action
3125	3125	Comedy
574	574	Comedy
2341	2341	Comedy
697	697	Comedy
613	613	Comedy
1196	1196	Comedy
586	586	Action
927	927	Drama
1260	1260	Comedy
583	583	Action
1300	1300	Drama
602	602	Drama
615	615	Comedy
943	943	Comedy
555	555	Comedy
678	678	Adventure
704	704	Action
785	785	Comedy
537	537	Comedy
1503	1503	Documentary
638	638	Comedy
1084	1084	Action
599	599	Comedy
1247	1247	Animation
746	746	Action
802	802	Adventure
745	745	Drama
731	731	Documentary
739	739	Comedy
814	814	Comedy
811	811	Action
1559	1559	Comedy
821	821	Comedy
829	829	Drama
2151	2151	Horror
812	812	Comedy
825	825	Drama
1508	1508	Drama
1501	1501	Action
928	928	Action
884	884	Action
891	891	Adventure
1418	1418	Comedy
1504	1504	Drama
985	985	Action
2044	2044	Comedy
946	946	Comedy
1067	1067	Comedy
1290	1290	Drama
1177	1177	Drama
