Source	Target	Weight
31	2170	1.0
22	26	1.0
27	1672	1.0
21	139	1.0
44	793	1.0
43	126	1.0
39	479	1.0
26	160	1.0
49	141	1.0
15	525	1.0
5	1602	1.0
23	607	1.0
40	381	1.0
33	1351	1.0
4	2134	1.0
120	83	1.0
83	117	1.0
100	2279	1.0
99	637	1.0
121	21	1.0
101	1415	1.0
139	939	1.0
87	250	1.0
117	142	1.0
104	124	1.0
116	1733	1.0
133	87	1.0
142	200	1.0
126	301	1.0
160	31	1.0
130	100	1.0
124	290	1.0
92	116	1.0
141	146	1.0
146	1854	1.0
62	471	1.0
107	703	1.0
75	308	1.0
105	39	1.0
189	336	1.0
175	718	1.0
170	456	1.0
243	782	1.0
257	1475	1.0
235	811	1.0
301	235	1.0
201	1704	1.0
322	104	1.0
250	101	1.0
249	27	1.0
317	2083	1.0
290	357	1.0
280	249	1.0
308	809	1.0
284	15	1.0
357	133	1.0
369	2027	1.0
345	2582	1.0
336	23	1.0
456	847	1.0
416	472	1.0
419	533	1.0
381	317	1.0
437	33	1.0
400	469	1.0
401	1476	1.0
452	401	1.0
474	688	1.0
476	121	1.0
488	993	1.0
372	284	1.0
459	4	1.0
472	105	1.0
479	400	1.0
469	92	1.0
471	437	1.0
688	345	1.0
533	62	1.0
525	175	1.0
703	3031	1.0
718	1045	1.0
591	99	1.0
613	735	1.0
637	2291	1.0
670	243	1.0
200	369	1.0
610	1935	1.0
726	459	1.0
735	419	1.0
793	107	1.0
811	610	1.0
809	1126	1.0
907	189	1.0
963	22	1.0
986	416	1.0
939	322	1.0
993	963	1.0
1045	1861	1.0
1126	613	1.0
1199	130	1.0
847	726	1.0
1415	49	1.0
1351	1199	1.0
760	2438	1.0
1476	670	1.0
1475	43	1.0
852	452	1.0
782	2724	1.0
1704	372	1.0
1680	5	1.0
1733	280	1.0
1672	75	1.0
1813	591	1.0
1854	986	1.0
1861	474	1.0
1935	201	1.0
2134	852	1.0
2170	40	1.0
1602	907	1.0
2279	120	1.0
2291	170	1.0
2438	476	1.0
2083	1680	1.0
2027	488	1.0
2582	760	1.0
2724	257	1.0
3031	1813	1.0
