Source	Target	Weight
31	26	1.0
22	61	1.0
3	401	1.0
47	1142	1.0
43	1836	1.0
48	161	1.0
26	80	1.0
19	160	1.0
28	2264	1.0
23	494	1.0
120	197	1.0
157	731	1.0
99	170	1.0
121	655	1.0
87	440	1.0
161	1684	1.0
117	251	1.0
143	1409	1.0
80	1017	1.0
61	1786	1.0
67	287	1.0
104	22	1.0
84	190	1.0
126	221	1.0
160	1715	1.0
124	374	1.0
92	786	1.0
146	1411	1.0
189	273	1.0
164	1767	1.0
190	602	1.0
170	302	1.0
276	47	1.0
302	315	1.0
315	460	1.0
273	3101	1.0
202	468	1.0
243	67	1.0
287	202	1.0
268	285	1.0
226	803	1.0
285	1475	1.0
221	392	1.0
201	372	1.0
265	121	1.0
248	1603	1.0
322	23	1.0
272	458	1.0
251	322	1.0
231	1290	1.0
295	272	1.0
279	92	1.0
361	703	1.0
366	226	1.0
444	2406	1.0
440	19	1.0
449	385	1.0
445	799	1.0
425	746	1.0
454	993	1.0
385	1410	1.0
401	2564	1.0
392	1361	1.0
473	295	1.0
461	2509	1.0
372	265	1.0
460	788	1.0
468	1027	1.0
458	668	1.0
655	1369	1.0
193	143	1.0
573	895	1.0
197	573	1.0
703	157	1.0
494	1030	1.0
618	193	1.0
668	928	1.0
637	99	1.0
602	783	1.0
746	909	1.0
745	201	1.0
731	198	1.0
803	268	1.0
799	43	1.0
374	1317	1.0
903	1813	1.0
895	1097	1.0
909	903	1.0
928	444	1.0
198	1830	1.0
961	31	1.0
986	961	1.0
1030	618	1.0
1017	1852	1.0
993	279	1.0
788	1197	1.0
1027	366	1.0
1097	1175	1.0
1138	276	1.0
1142	84	1.0
786	2436	1.0
783	48	1.0
1152	243	1.0
1197	852	1.0
1200	1470	1.0
1175	146	1.0
1290	787	1.0
1369	361	1.0
1374	454	1.0
1411	1374	1.0
1361	745	1.0
1410	2877	1.0
1409	120	1.0
1470	104	1.0
1476	3	1.0
1475	445	1.0
852	1796	1.0
755	1660	1.0
1660	449	1.0
1715	637	1.0
1796	1476	1.0
1684	117	1.0
1767	28	1.0
1786	425	1.0
1813	755	1.0
1847	231	1.0
1830	1841	1.0
1851	1886	1.0
1836	126	1.0
1841	1847	1.0
1852	189	1.0
1886	461	1.0
1317	1851	1.0
2264	986	1.0
2298	1200	1.0
787	2739	1.0
2388	87	1.0
2406	164	1.0
2436	2298	1.0
2509	473	1.0
2564	1152	1.0
1603	304	1.0
2625	248	1.0
2739	1138	1.0
1598	2625	1.0
2877	124	1.0
3101	1598	1.0
