Id	Label	Category
22	22	Comedy
99	99	Comedy
3	3	Drama
1146	1146	Comedy
44	44	Action
200	200	Action
9	9	Adventure
678	678	Adventure
41	41	Drama
2083	2083	Horror
19	19	Comedy
13	13	Comedy
15	15	Comedy
1060	1060	Comedy
5	5	Action
243	243	Comedy
23	23	Drama
157	157	Drama
40	40	Animation
120	120	Action
117	117	Action
64	64	Action
380	380	Action
121	121	Drama
190	190	Comedy
87	87	Action
478	478	Comedy
1307	1307	Action
154	154	Comedy
582	582	Comedy
80	80	Adventure
57	57	Action
377	377	Action
85	85	Comedy
1051	1051	Comedy
126	126	Comedy
459	459	Comedy
160	160	Comedy
793	793	Comedy
110	110	Comedy
124	124	Action
92	92	Action
75	75	Action
141	141	Action
146	146	Action
62	62	Action
904	904	Sci-Fi
107	107	Action
179	179	Action
111	111	Action
137	137	Action
60	60	Action
2143	2143	Horror
189	189	Comedy
1067	1067	Comedy
172	172	Action
702	702	Drama
476	476	Animation
188	188	Action
693	693	Comedy
162	162	Comedy
255	255	Comedy
163	163	Comedy
625	625	Comedy
182	182	Comedy
1143	1143	Comedy
168	168	Comedy
1418	1418	Comedy
165	165	Comedy
835	835	Western
276	276	Drama
1028	1028	Horror
316	316	Horror
1154	1154	Comedy
272	272	Comedy
578	578	Comedy
2285	2285	Comedy
334	334	Western
755	755	Comedy
340	340	Comedy
466	466	Comedy
336	336	Comedy
384	384	Drama
607	607	Action
429	429	Drama
402	402	Drama
2845	2845	Action
470	470	Comedy
488	488	Comedy
504	504	Comedy
748	748	Comedy
1189	1189	Comedy
739	739	Comedy
542	542	Comedy
2044	2044	Comedy
193	193	Action
540	540	Comedy
1149	1149	Comedy
197	197	Action
1016	1016	Horror
628	628	Comedy
527	527	Action
667	667	Comedy
650	650	Action
1299	1299	Drama
692	692	Action
564	564	Comedy
1141	1141	Horror
674	674	Comedy
517	517	Adventure
675	675	Comedy
654	654	Adventure
553	553	Comedy
1158	1158	Comedy
1000	1000	Comedy
597	597	Comedy
1041	1041	Horror
651	651	Action
865	865	Action
953	953	Animation
537	537	Comedy
638	638	Comedy
988	988	Action
733	733	Comedy
725	725	Comedy
1199	1199	Comedy
1084	1084	Action
1218	1218	Action
785	785	Comedy
194	194	Action
1030	1030	Drama
949	949	Animation
955	955	Animation
997	997	Horror
993	993	Horror
1586	1586	Comedy
1142	1142	Comedy
1192	1192	Comedy
1420	1420	Comedy
2257	2257	Horror
7	7	Comedy
