Source	Target	Weight
22	2069	1.0
7	852	1.0
43	126	1.0
41	193	1.0
45	495	1.0
13	488	1.0
50	710	1.0
15	1067	1.0
20	703	1.0
5	117	1.0
4	68	1.0
120	5	1.0
64	169	1.0
117	194	1.0
80	13	1.0
54	860	1.0
57	616	1.0
126	799	1.0
58	1145	1.0
68	381	1.0
60	458	1.0
82	177	1.0
189	1121	1.0
180	120	1.0
172	692	1.0
173	509	1.0
188	929	1.0
184	1418	1.0
177	2614	1.0
190	41	1.0
170	302	1.0
163	22	1.0
183	542	1.0
169	783	1.0
182	332	1.0
191	954	1.0
302	4	1.0
243	327	1.0
257	268	1.0
268	883	1.0
201	1622	1.0
332	1155	1.0
358	54	1.0
325	1889	1.0
364	1130	1.0
326	191	1.0
327	851	1.0
381	243	1.0
488	1154	1.0
372	190	1.0
482	257	1.0
458	545	1.0
542	3438	1.0
193	985	1.0
648	527	1.0
703	1441	1.0
527	325	1.0
667	20	1.0
650	1756	1.0
582	961	1.0
710	1655	1.0
692	899	1.0
564	15	1.0
674	650	1.0
575	1149	1.0
553	638	1.0
545	1735	1.0
495	3433	1.0
499	1143	1.0
695	1501	1.0
583	882	1.0
651	865	1.0
615	674	1.0
639	1105	1.0
678	695	1.0
616	648	1.0
596	60	1.0
509	828	1.0
638	1146	1.0
200	583	1.0
733	1369	1.0
728	575	1.0
793	170	1.0
799	1705	1.0
811	50	1.0
828	372	1.0
860	733	1.0
882	651	1.0
865	639	1.0
899	928	1.0
883	43	1.0
928	57	1.0
988	1810	1.0
194	200	1.0
945	172	1.0
929	326	1.0
975	188	1.0
985	183	1.0
954	499	1.0
961	80	1.0
946	1324	1.0
1084	988	1.0
1067	189	1.0
1049	1270	1.0
1105	945	1.0
851	482	1.0
1121	946	1.0
1117	364	1.0
1130	184	1.0
1142	582	1.0
1155	564	1.0
1146	1330	1.0
1154	786	1.0
786	182	1.0
1149	2198	1.0
1143	163	1.0
783	2867	1.0
1145	82	1.0
1197	1142	1.0
1270	553	1.0
1330	1465	1.0
1324	1049	1.0
1369	201	1.0
1418	793	1.0
1441	1895	1.0
1465	615	1.0
1501	45	1.0
852	678	1.0
1622	180	1.0
1655	58	1.0
1705	811	1.0
1735	173	1.0
1756	728	1.0
1810	358	1.0
1889	975	1.0
1895	1084	1.0
2069	1197	1.0
2198	1117	1.0
2614	596	1.0
2867	667	1.0
3438	7	1.0
