Id	Label	Category
22	22	Comedy
413	413	Adventure
44	44	Action
85	85	Comedy
43	43	Action
2296	2296	Horror
48	48	Action
17	17	Animation
26	26	Animation
637	637	Action
6	6	Action
120	120	Action
50	50	Animation
67	67	Action
10	10	Animation
563	563	Animation
2173	2173	Horror
64	64	Action
87	87	Action
107	107	Action
117	117	Action
891	891	Adventure
903	903	Action
345	345	Comedy
160	160	Comedy
3388	3388	Horror
124	124	Action
141	141	Action
92	92	Action
146	146	Action
88	88	Action
105	105	Action
136	136	Action
376	376	Action
62	62	Action
150	150	Action
75	75	Action
175	175	Action
377	377	Action
140	140	Action
145	145	Action
1497	1497	Action
156	156	Action
997	997	Horror
111	111	Action
58	58	Action
544	544	Action
118	118	Action
1039	1039	Action
147	147	Action
1085	1085	Action
89	89	Action
1314	1314	Action
375	375	Action
112	112	Action
102	102	Action
137	137	Action
68	68	Action
71	71	Action
79	79	Action
60	60	Action
958	958	Action
86	86	Action
2079	2079	Action
119	119	Action
153	153	Action
404	404	Action
82	82	Action
66	66	Action
971	971	Action
125	125	Action
1618	1618	Action
181	181	Action
2213	2213	Action
172	172	Action
174	174	Action
1173	1173	Drama
179	179	Action
682	682	Comedy
173	173	Action
2844	2844	Horror
177	177	Action
191	191	Animation
1077	1077	Action
253	253	Action
300	300	Action
1109	1109	Comedy
242	242	Action
1655	1655	Action
272	272	Comedy
279	279	Horror
591	591	Action
236	236	Action
1070	1070	Action
346	346	Action
1660	1660	Comedy
703	703	Comedy
444	444	Comedy
688	688	Comedy
378	378	Action
379	379	Action
431	431	Drama
811	811	Action
387	387	Animation
548	548	Animation
882	882	Action
461	461	Comedy
488	488	Comedy
372	372	Action
1852	1852	Comedy
482	482	Action
851	851	Animation
677	677	Action
697	697	Comedy
685	685	Action
1469	1469	Comedy
508	508	Comedy
3166	3166	Drama
527	527	Action
587	587	Action
668	668	Comedy
1971	1971	Action
710	710	Action
520	520	Animation
699	699	Action
770	770	Action
1535	1535	Action
558	558	Action
515	515	Action
1942	1942	Action
690	690	Action
1721	1721	Action
1495	1495	Action
639	639	Action
695	695	Adventure
985	985	Action
583	583	Action
200	200	Action
651	651	Action
615	615	Comedy
928	928	Action
746	746	Action
957	957	Action
772	772	Action
2684	2684	Action
816	816	Action
791	791	Action
865	865	Action
909	909	Action
980	980	Action
945	945	Action
1659	1659	Action
972	972	Action
2345	2345	Action
974	974	Action
1969	1969	Action
1629	1629	Action
1018	1018	Action
1621	1621	Action
1006	1006	Action
1042	1042	Animation
2053	2053	Action
1034	1034	Action
1057	1057	Action
2903	2903	Action
1603	1603	Horror
1736	1736	Action
1104	1104	Action
1118	1118	Action
1696	1696	Horror
1498	1498	Comedy
1488	1488	Action
1790	1790	Action
2012	2012	Action
1665	1665	Comedy
