Id	Label	Category
22	22	Comedy
768	768	Action
27	27	Drama
119	119	Action
3	3	Drama
1475	1475	Drama
7	7	Comedy
2925	2925	Horror
44	44	Action
235	235	Horror
48	48	Action
40	40	Animation
39	39	Drama
92	92	Action
19	19	Comedy
2174	2174	Horror
15	15	Comedy
1411	1411	Drama
20	20	Comedy
85	85	Comedy
5	5	Action
560	560	Comedy
23	23	Drama
265	265	Drama
121	121	Drama
33	33	Animation
62	62	Action
4	4	Animation
921	921	Comedy
120	120	Action
688	688	Comedy
100	100	Drama
157	157	Drama
141	141	Action
98	98	Drama
377	377	Action
139	139	Drama
248	248	Drama
81	81	Drama
737	737	Comedy
117	117	Action
107	107	Action
90	90	Drama
179	179	Action
154	154	Comedy
477	477	Drama
67	67	Action
116	116	Adventure
231	231	Drama
130	130	Comedy
56	56	Drama
242	242	Action
126	126	Comedy
475	475	Comedy
122	122	Comedy
160	160	Comedy
110	110	Comedy
359	359	Comedy
170	170	Comedy
138	138	Action
140	140	Action
479	479	Drama
1359	1359	Horror
75	75	Action
314	314	Comedy
623	623	Comedy
114	114	Action
811	811	Action
88	88	Action
710	710	Action
111	111	Action
385	385	Drama
150	150	Action
805	805	Drama
175	175	Action
1731	1731	Comedy
190	190	Comedy
197	197	Action
271	271	Comedy
280	280	Drama
745	745	Drama
2200	2200	Drama
240	240	Comedy
250	250	Drama
272	272	Comedy
255	255	Comedy
641	641	Drama
288	288	Comedy
1199	1199	Comedy
1633	1633	Documentary
579	579	Comedy
338	338	Comedy
370	370	Comedy
444	444	Comedy
437	437	Drama
1150	1150	Comedy
386	386	Drama
450	450	Comedy
472	472	Drama
433	433	Drama
1351	1351	Drama
488	488	Comedy
463	463	Drama
746	746	Action
478	478	Comedy
1930	1930	Drama
466	466	Comedy
1495	1495	Action
556	556	Drama
613	613	Comedy
983	983	Adventure
1897	1897	Comedy
1536	1536	Action
752	752	Comedy
1498	1498	Comedy
821	821	Comedy
1508	1508	Drama
1452	1452	Comedy
1268	1268	Comedy
757	757	Comedy
2568	2568	Drama
1779	1779	Horror
