Source	Target	Weight
23	1229	1.0
121	128	1.0
117	1522	1.0
128	1333	1.0
116	1617	1.0
141	1114	1.0
58	1290	1.0
137	816	1.0
68	82	1.0
79	2188	1.0
82	2079	1.0
66	496	1.0
178	549	1.0
183	3438	1.0
276	1028	1.0
281	661	1.0
236	694	1.0
337	3356	1.0
333	337	1.0
334	1387	1.0
353	2203	1.0
411	591	1.0
446	137	1.0
405	1106	1.0
421	58	1.0
193	1596	1.0
508	1136	1.0
694	1095	1.0
591	1917	1.0
496	68	1.0
656	1504	1.0
637	281	1.0
651	811	1.0
602	2324	1.0
661	899	1.0
549	1440	1.0
771	857	1.0
811	405	1.0
816	66	1.0
835	1622	1.0
858	602	1.0
899	508	1.0
898	194	1.0
857	411	1.0
893	771	1.0
194	236	1.0
975	421	1.0
1028	121	1.0
1022	898	1.0
989	1929	1.0
1041	1402	1.0
1106	637	1.0
1136	893	1.0
1095	651	1.0
1114	1022	1.0
1229	2105	1.0
1215	975	1.0
1290	276	1.0
1333	141	1.0
1323	1215	1.0
1402	178	1.0
1387	2771	1.0
1440	116	1.0
1429	835	1.0
1504	1609	1.0
1522	1593	1.0
1617	1429	1.0
1622	334	1.0
1757	1323	1.0
1929	858	1.0
1917	446	1.0
2079	1041	1.0
2105	989	1.0
2203	3255	1.0
2188	2355	1.0
2355	333	1.0
2324	1757	1.0
2711	79	1.0
2771	2711	1.0
2801	117	1.0
1599	2801	1.0
1609	1599	1.0
1593	183	1.0
3255	656	1.0
3282	193	1.0
3356	353	1.0
3438	3282	1.0
