Id	Label	Category
6	6	Action
1549	1549	Sci-Fi
69	69	Comedy
1365	1365	Horror
74	74	Drama
2157	2157	Horror
247	247	Horror
1004	1004	Horror
257	257	Horror
602	602	Drama
685	685	Action
857	857	Horror
554	554	Action
3329	3329	Sci-Fi
595	595	Adventure
898	898	Sci-Fi
756	756	Sci-Fi
550	550	Sci-Fi
856	856	Horror
780	780	Adventure
858	858	Horror
2933	2933	Horror
871	871	Sci-Fi
1306	1306	Action
874	874	Horror
2814	2814	Horror
918	918	Sci-Fi
2457	2457	Sci-Fi
1102	1102	Adventure
872	872	Sci-Fi
863	863	Sci-Fi
873	873	Sci-Fi
916	916	Action
1072	1072	Horror
1007	1007	Horror
3623	3623	Horror
1028	1028	Horror
2961	2961	Horror
1001	1001	Horror
1005	1005	Horror
998	998	Horror
1029	1029	Horror
2792	2792	Horror
1106	1106	Horror
2524	2524	Horror
1818	1818	Action
1292	1292	Horror
1412	1412	Horror
2802	2802	Horror
1357	1357	Horror
1913	1913	Horror
3283	3283	Horror
1773	1773	Horror
1747	1747	Horror
2804	2804	Horror
2808	2808	Horror
2155	2155	Horror
2153	2153	Horror
3327	3327	Horror
2150	2150	Horror
2156	2156	Horror
2455	2455	Horror
2166	2166	Sci-Fi
2158	2158	Sci-Fi
2819	2819	Drama
2257	2257	Horror
2515	2515	Drama
3220	3220	Horror
2528	2528	Comedy
2499	2499	Sci-Fi
