Source	Target	Weight
22	961	1.0
27	744	1.0
24	1508	1.0
3	67	1.0
7	169	1.0
48	1536	1.0
26	80	1.0
19	5	1.0
50	845	1.0
5	22	1.0
10	330	1.0
40	4	1.0
33	10	1.0
16	329	1.0
35	34	1.0
4	33	1.0
34	191	1.0
32	951	1.0
25	523	1.0
64	120	1.0
80	994	1.0
67	901	1.0
104	352	1.0
84	236	1.0
126	524	1.0
160	849	1.0
110	1351	1.0
72	1180	1.0
124	579	1.0
138	410	1.0
105	613	1.0
58	1420	1.0
112	1266	1.0
129	1157	1.0
60	790	1.0
86	3098	1.0
119	508	1.0
189	1154	1.0
164	1668	1.0
169	19	1.0
182	1067	1.0
191	201	1.0
243	564	1.0
201	755	1.0
250	160	1.0
204	789	1.0
213	799	1.0
314	666	1.0
217	1191	1.0
236	384	1.0
357	1199	1.0
359	1574	1.0
365	946	1.0
325	1390	1.0
338	104	1.0
352	129	1.0
329	841	1.0
330	16	1.0
356	443	1.0
345	164	1.0
370	2102	1.0
327	40	1.0
340	426	1.0
443	516	1.0
410	213	1.0
416	119	1.0
384	105	1.0
391	1715	1.0
435	607	1.0
426	1205	1.0
399	740	1.0
380	435	1.0
486	488	1.0
461	463	1.0
488	7	1.0
463	50	1.0
466	416	1.0
607	48	1.0
521	110	1.0
508	1560	1.0
666	204	1.0
582	2399	1.0
516	779	1.0
564	1146	1.0
682	126	1.0
523	2779	1.0
580	72	1.0
613	682	1.0
579	380	1.0
524	357	1.0
746	2046	1.0
744	1088	1.0
745	1669	1.0
735	1515	1.0
740	391	1.0
779	359	1.0
800	580	1.0
841	32	1.0
799	356	1.0
789	340	1.0
790	746	1.0
901	2394	1.0
951	35	1.0
954	365	1.0
961	182	1.0
934	84	1.0
946	461	1.0
943	325	1.0
994	1499	1.0
1067	189	1.0
1088	735	1.0
1146	582	1.0
1154	243	1.0
1151	943	1.0
1150	338	1.0
1157	138	1.0
1205	27	1.0
1229	1171	1.0
1233	58	1.0
1250	64	1.0
1187	853	1.0
1263	2710	1.0
1236	1187	1.0
1180	1236	1.0
850	1202	1.0
1199	250	1.0
1185	1229	1.0
1171	850	1.0
1191	800	1.0
1272	112	1.0
1202	24	1.0
1266	25	1.0
1210	1510	1.0
1330	954	1.0
1351	86	1.0
1390	1330	1.0
1420	521	1.0
849	314	1.0
853	2421	1.0
1498	1475	1.0
1499	60	1.0
1475	2602	1.0
1508	1563	1.0
1515	466	1.0
1510	217	1.0
1536	327	1.0
1574	1272	1.0
1560	1150	1.0
1563	1210	1.0
1562	1233	1.0
755	399	1.0
1668	370	1.0
1715	745	1.0
845	2791	1.0
1724	124	1.0
2046	2293	1.0
2102	1498	1.0
2293	1856	1.0
1856	934	1.0
2394	1724	1.0
2399	1151	1.0
2421	1263	1.0
2602	3	1.0
2710	345	1.0
2779	1185	1.0
2791	1562	1.0
1669	486	1.0
3098	1250	1.0
