Id	Label	Category
22	22	Comedy
48	48	Action
7	7	Comedy
961	961	Comedy
43	43	Action
301	301	Comedy
64	64	Action
19	19	Comedy
733	733	Comedy
13	13	Comedy
15	15	Comedy
564	564	Comedy
20	20	Comedy
678	678	Adventure
5	5	Action
168	168	Comedy
120	120	Action
117	117	Action
78	78	Drama
87	87	Action
988	988	Action
442	442	Action
80	80	Adventure
1000	1000	Comedy
67	67	Action
163	163	Comedy
57	57	Action
372	372	Action
126	126	Comedy
235	235	Horror
124	124	Action
172	172	Action
92	92	Action
1084	1084	Action
189	189	Comedy
857	857	Horror
180	180	Action
170	170	Comedy
184	184	Adventure
625	625	Comedy
302	302	Comedy
182	182	Comedy
325	325	Action
1067	1067	Comedy
459	459	Comedy
271	271	Comedy
1796	1796	Drama
273	273	Drama
243	243	Comedy
221	221	Animation
201	201	Adventure
667	667	Comedy
488	488	Comedy
1154	1154	Comedy
2902	2902	Comedy
1101	1101	Action
648	648	Action
504	504	Comedy
1330	1330	Comedy
582	582	Comedy
553	553	Comedy
652	652	Comedy
674	674	Comedy
728	728	Comedy
1418	1418	Comedy
672	672	Comedy
637	637	Action
1146	1146	Comedy
638	638	Comedy
200	200	Action
1143	1143	Comedy
194	194	Action
2801	2801	Horror
1069	1069	Comedy
2925	2925	Horror
1149	1149	Comedy
1222	1222	Comedy
1192	1192	Comedy
