Id	Label	Category
22	22	Comedy
692	692	Action
3	3	Drama
1852	1852	Comedy
7	7	Comedy
120	120	Action
41	41	Drama
1998	1998	Animation
48	48	Action
193	193	Action
42	42	Drama
586	586	Action
26	26	Animation
15	15	Comedy
19	19	Comedy
988	988	Action
52	52	Drama
95	95	Drama
13	13	Comedy
786	786	Comedy
1228	1228	Action
20	20	Comedy
123	123	Comedy
5	5	Action
194	194	Action
8	8	Animation
984	984	Drama
23	23	Drama
663	663	Musical
654	654	Adventure
64	64	Action
564	564	Comedy
1020	1020	Horror
99	99	Comedy
1028	1028	Horror
109	109	Drama
161	161	Drama
1841	1841	Musical
67	67	Action
126	126	Comedy
1067	1067	Comedy
54	54	Drama
188	188	Action
134	134	Drama
1501	1501	Action
1251	1251	Drama
189	189	Comedy
325	325	Action
180	180	Action
517	517	Adventure
172	172	Action
243	243	Comedy
1410	1410	Drama
184	184	Adventure
168	168	Comedy
163	163	Comedy
651	651	Action
169	169	Comedy
326	326	Action
628	628	Comedy
191	191	Animation
1084	1084	Action
201	201	Adventure
1158	1158	Comedy
332	332	Comedy
1146	1146	Comedy
361	361	Drama
349	349	Comedy
369	369	Drama
200	200	Action
365	365	Comedy
1154	1154	Comedy
331	331	Comedy
615	615	Comedy
360	360	Musical
346	346	Action
1667	1667	Comedy
345	345	Comedy
327	327	Action
2582	2582	Comedy
486	486	Drama
461	461	Comedy
1469	1469	Comedy
463	463	Drama
1464	1464	Comedy
482	482	Action
688	688	Comedy
702	702	Drama
1143	1143	Comedy
1319	1319	Drama
648	648	Action
631	631	Comedy
527	527	Action
652	652	Comedy
614	614	Action
879	879	Comedy
575	575	Comedy
625	625	Comedy
1749	1749	Drama
552	552	Drama
1946	1946	Drama
1369	1369	Drama
1728	1728	Drama
746	746	Action
755	755	Comedy
728	728	Comedy
1465	1465	Comedy
1022	1022	Horror
901	901	Drama
1660	1660	Comedy
1947	1947	Drama
1140	1140	Horror
955	955	Animation
963	963	Drama
1155	1155	Comedy
943	943	Comedy
1030	1030	Drama
1352	1352	Comedy
1431	1431	Drama
377	377	Action
1223	1223	Comedy
1256	1256	Drama
1411	1411	Drama
850	850	Comedy
1201	1201	Drama
1234	1234	Drama
3556	3556	Horror
1324	1324	Comedy
2198	2198	Comedy
1813	1813	Comedy
1475	1475	Drama
1595	1595	Horror
1893	1893	Drama
1859	1859	Comedy
2175	2175	Horror
