User	Video	Orientation	Slant	Label	Score
0	31	Animation	-1	Drama	1
0	22	Animation	-1	Comedy	1
0	37	Animation	-1	Animation	1
0	27	Animation	-1	Drama	1
0	24	Animation	-1	Romance	1
0	36	Animation	-1	Drama	1
0	3	Animation	-1	Drama	1
0	47	Animation	-1	Drama	1
0	7	Animation	-1	Comedy	1
0	0	Animation	-1	Drama	1
0	21	Animation	-1	Animation	1
0	44	Animation	-1	Action	1
0	9	Animation	-1	Adventure	1
0	43	Animation	-1	Action	1
0	41	Animation	-1	Drama	1
0	48	Animation	-1	Action	1
0	18	Animation	-1	Drama	1
0	11	Animation	-1	Musical	1
0	42	Animation	-1	Drama	1
0	14	Animation	-1	Musical	1
0	39	Animation	-1	Drama	1
0	17	Animation	-1	Animation	1
0	45	Animation	-1	Animation	1
0	26	Animation	-1	Animation	1
0	2	Animation	-1	Musical	1
0	19	Animation	-1	Comedy	1
0	6	Animation	-1	Action	1
0	52	Animation	-1	Drama	1
0	1	Animation	-1	Animation	1
0	13	Animation	-1	Comedy	1
0	49	Animation	-1	Animation	1
0	50	Animation	-1	Animation	1
0	15	Animation	-1	Comedy	1
0	46	Animation	-1	Animation	1
0	20	Animation	-1	Comedy	1
0	5	Animation	-1	Action	1
0	8	Animation	-1	Animation	1
0	12	Animation	-1	Drama	1
0	28	Animation	-1	Drama	1
0	23	Animation	-1	Drama	1
0	10	Animation	-1	Animation	1
0	40	Animation	-1	Animation	1
0	33	Animation	-1	Animation	1
0	29	Animation	-1	Animation	1
0	16	Animation	-1	Animation	1
0	35	Animation	-1	Animation	1
0	4	Animation	-1	Animation	1
0	30	Animation	-1	Animation	1
0	34	Animation	-1	Animation	1
0	32	Animation	-1	Adventure	1
0	25	Animation	-1	Animation	1
1	120	Action	-1	Action	1
1	70	Action	-1	Drama	1
1	64	Action	-1	Action	1
1	123	Action	-1	Comedy	1
1	83	Action	-1	Drama	1
1	155	Action	-1	Drama	1
1	100	Action	-1	Drama	1
1	0	Action	-1	Drama	1
1	157	Action	-1	Drama	1
1	99	Action	-1	Comedy	1
1	69	Action	-1	Comedy	1
1	47	Action	-1	Drama	1
1	149	Action	-1	Drama	1
1	121	Action	-1	Drama	1
1	63	Action	-1	Drama	1
1	101	Action	-1	Drama	1
1	98	Action	-1	Drama	1
1	139	Action	-1	Drama	1
1	109	Action	-1	Drama	1
1	73	Action	-1	Comedy	1
1	87	Action	-1	Action	1
1	81	Action	-1	Drama	1
1	161	Action	-1	Drama	1
1	18	Action	-1	Drama	1
1	53	Action	-1	Drama	1
1	117	Action	-1	Action	1
1	135	Action	-1	Drama	1
1	128	Action	-1	Action	1
1	143	Action	-1	Drama	1
1	42	Action	-1	Drama	1
1	90	Action	-1	Drama	1
1	94	Action	-1	Action	1
1	91	Action	-1	Drama	1
1	154	Action	-1	Comedy	1
1	131	Action	-1	Action	1
1	80	Action	-1	Adventure	1
1	152	Action	-1	Drama	1
1	61	Action	-1	Drama	1
1	148	Action	-1	Comedy	1
1	67	Action	-1	Action	1
1	95	Action	-1	Drama	1
1	54	Action	-1	Drama	1
1	104	Action	-1	Drama	1
1	103	Action	-1	Drama	1
1	116	Action	-1	Adventure	1
1	74	Action	-1	Drama	1
1	78	Action	-1	Drama	1
1	159	Action	-1	Comedy	1
1	132	Action	-1	Drama	1
1	77	Action	-1	Drama	1
1	158	Action	-1	Drama	1
1	97	Action	-1	Drama	1
1	57	Action	-1	Action	1
1	108	Action	-1	Drama	1
1	85	Action	-1	Comedy	1
1	133	Action	-1	Comedy	1
1	56	Action	-1	Drama	1
1	142	Action	-1	Drama	1
1	52	Action	-1	Drama	1
1	134	Action	-1	Drama	1
1	151	Action	-1	Drama	1
1	84	Action	-1	Comedy	1
1	55	Action	-1	Comedy	1
1	126	Action	-1	Comedy	1
1	20	Action	-1	Comedy	1
1	122	Action	-1	Comedy	1
1	160	Action	-1	Comedy	1
1	110	Action	-1	Comedy	1
1	130	Action	-1	Comedy	1
1	72	Action	-1	Comedy	1
1	48	Action	-1	Action	1
1	124	Action	-1	Action	1
1	92	Action	-1	Action	1
1	141	Action	-1	Action	1
1	138	Action	-1	Action	1
